Normalized_Chord,Count,Probability
2m7,4046,0.11986727498963086
57,4035,0.1195413876873852
1maj7,2499,0.0740356698465367
16,1729,0.051223558689340525
3m7,1441,0.042691236594181434
67,1411,0.041802453042602356
6m7,1372,0.040647034425549566
17,1237,0.03664750844344374
27,1174,0.03478106298512769
4maj7,821,0.024323043194880607
b77,705,0.020886413462108195
47,649,0.019227350832493925
5m7,648,0.019197724714107956
1Maj,493,0.014605676364282751
37,477,0.014131658470107247
67b9,418,0.012383717485335071
4m7,413,0.012235586893405226
b67,375,0.011109794394738401
77,339,0.010043254132843515
7m7b5,315,0.009332227291580257
b307,298,0.008828583279018783
37b9,281,0.00832493926645731
#4m7b5,274,0.008117556437755526
b37,265,0.007850921372281803
3m7b5,264,0.007821295253895834
#4m7,222,0.006576998281685133
57sus,212,0.006280737097825443
46,196,0.005806719203649938
57b9,183,0.00542157966463234
4m6,180,0.005332701309474433
b3m7,170,0.005036440125614742
7m7,170,0.005036440125614742
4Maj,165,0.004888309533684897
#407,165,0.004888309533684897
b27,161,0.00476980506014102
1m7,159,0.004710552823369082
77b9,159,0.004710552823369082
2m7b5,155,0.004592048349825206
b207,155,0.004592048349825206
b6maj7,152,0.004503169994667299
6m,148,0.0043846655211234225
57#5,143,0.004236534929193577
b3maj7,137,0.004058778218877763
3maj7,137,0.004058778218877763
#47,114,0.003377377496000474
b7m7,112,0.0033181252592285357
b2maj7,108,0.0031996207856846595
b2m7,106,0.0031403685489127214
5maj7,92,0.0027256028915091544
67b13,88,0.0026070984179652782
b7maj7,85,0.002518220062807371
b77#11,84,0.002488593944421402
5Maj,76,0.0022515849973336493
b6m7,71,0.002103454405403804
6maj7,62,0.0018368193399300823
6m6,59,0.0017479409847721752
67#9,57,0.001688688748000237
47#11,57,0.001688688748000237
37b13,55,0.0016294365112282988
3m,54,0.0015998103928423298
2m,52,0.0015405581560703917
4m,48,0.0014220536825265153
2maj7,47,0.0013924275641405462
57#9,45,0.0013331753273686082
b6Maj,43,0.00127392309059667
107,43,0.00127392309059667
17b9,42,0.001244296972210701
6m7b5,40,0.0011850447354387627
37#9,39,0.0011554186170527937
36,39,0.0011554186170527937
b79,38,0.0011257924986668247
7maj7,37,0.0010961663802808556
17sus,36,0.0010665402618948866
169,35,0.0010369141435089175
27b9,35,0.0010369141435089175
513,34,0.0010072880251229485
b27#11,34,0.0010072880251229485
37#5,33,0.0009776619067369792
3Maj,33,0.0009776619067369792
1m,32,0.0009480357883510103
#4maj7,31,0.0009184096699650411
29,31,0.0009184096699650411
b607,28,0.0008295313148071339
17#5,28,0.0008295313148071339
1maj7#11,27,0.0007999051964211649
b7Maj,27,0.0007999051964211649
#47#11,27,0.0007999051964211649
67#5,26,0.0007702790780351958
77b13,26,0.0007702790780351958
56,26,0.0007702790780351958
27sus,26,0.0007702790780351958
b76,26,0.0007702790780351958
27#11,26,0.0007702790780351958
1m6,25,0.0007406529596492268
59,25,0.0007406529596492268
57b13,24,0.0007110268412632576
b2m7b5,24,0.0007110268412632576
77#9,24,0.0007110268412632576
59sus,23,0.0006814007228772886
2Maj,23,0.0006814007228772886
b2maj7#11,23,0.0006814007228772886
1aug,23,0.0006814007228772886
b3Maj,23,0.0006814007228772886
2m9,22,0.0006517746044913196
5m,22,0.0006517746044913196
b2Maj,22,0.0006517746044913196
69,21,0.0006221484861053505
17#9,20,0.0005925223677193814
2m6,20,0.0005925223677193814
513b9,20,0.0005925223677193814
57#5#9,19,0.0005628962493334123
407,19,0.0005628962493334123
57alt,19,0.0005628962493334123
4maj7#11,19,0.0005628962493334123
1maj9,18,0.0005332701309474433
57#11,18,0.0005332701309474433
77#5,18,0.0005332701309474433
b37#11,17,0.0005036440125614742
b713,17,0.0005036440125614742
47sus,17,0.0005036440125614742
b67#11,16,0.00047401789417550515
49,16,0.00047401789417550515
113,16,0.00047401789417550515
b36,16,0.00047401789417550515
b30,15,0.00044439177578953605
5m7b5,15,0.00044439177578953605
67sus,15,0.00044439177578953605
507,15,0.00044439177578953605
b27#9,14,0.00041476565740356696
b7maj7#11,13,0.0003851395390175979
3m6,13,0.0003851395390175979
67#5#9,13,0.0003851395390175979
213,13,0.0003851395390175979
b6m7b5,13,0.0003851395390175979
4maj9,12,0.0003555134206316288
b77sus,12,0.0003555134206316288
39,12,0.0003555134206316288
b6maj7#11,12,0.0003555134206316288
b27b9,11,0.0003258873022456598
