Current_Chord,Next_Chord,Count,Probability
#40,57,4,0.4
#40,57sus,2,0.2
#40,16,2,0.2
#40,1Maj,1,0.1
#40,2m,1,0.1
#407,16,44,0.26993865030674846
#407,1Maj,36,0.22085889570552147
#407,1maj7,22,0.13496932515337423
#407,17,18,0.11042944785276074
#407,3m7,11,0.06748466257668712
#407,57,7,0.04294478527607362
#407,46,6,0.03680981595092025
#407,5m7,5,0.03067484662576687
#407,3m7b5,2,0.012269938650306749
#407,4Maj,2,0.012269938650306749
#407,57sus,2,0.012269938650306749
#407,b3maj7,1,0.006134969325153374
#407,3maj7,1,0.006134969325153374
#407,47,1,0.006134969325153374
#407,7m7b5,1,0.006134969325153374
#407,2m7,1,0.006134969325153374
#407,4maj7,1,0.006134969325153374
#407,4m7,1,0.006134969325153374
#407,77,1,0.006134969325153374
#407(Bb07),16,1,1.0
#407(Bb7sus),3m7,2,1.0
#413,413,2,0.4
#413,413b9,1,0.2
#413,47,1,0.2
#413,469,1,0.2
#413#11,#4m11,1,1.0
#413b9,b3maj7,2,0.4
#413b9,b2m7b5,2,0.4
#413b9,4maj7,1,0.2
#46,56,2,0.6666666666666666
#46,57sus,1,0.3333333333333333
#469,56,1,0.5
#469,7maj7,1,0.5
#47,47,21,0.2079207920792079
#47,7maj7,14,0.13861386138613863
#47,7m7,8,0.07920792079207921
#47,2m7,8,0.07920792079207921
#47,4maj7,7,0.06930693069306931
#47,77,6,0.0594059405940594
#47,4m7,5,0.04950495049504951
#47,57,3,0.0297029702970297
#47,b3m7,3,0.0297029702970297
#47,1m7,3,0.0297029702970297
#47,b7m7,2,0.019801980198019802
#47,1maj7#11,2,0.019801980198019802
#47,37,2,0.019801980198019802
#47,7maj7#11,1,0.009900990099009901
#47,#4m7,1,0.009900990099009901
#47,513,1,0.009900990099009901
#47,6m7,1,0.009900990099009901
#47,b6m7,1,0.009900990099009901
#47,b37,1,0.009900990099009901
#47,77#5#9,1,0.009900990099009901
#47,b2m7,1,0.009900990099009901
#47,46,1,0.009900990099009901
#47,77b9,1,0.009900990099009901
#47,7m7b5,1,0.009900990099009901
#47,77b13,1,0.009900990099009901
#47,6Maj,1,0.009900990099009901
#47,17,1,0.009900990099009901
#47,17b13,1,0.009900990099009901
#47,2m7b5,1,0.009900990099009901
#47,7m,1,0.009900990099009901
#47#11,4maj7,11,0.55
#47#11,47,6,0.3
#47#11,4m7,1,0.05
#47#11,b79sus,1,0.05
#47#11,17#9,1,0.05
#47#5,7m7,2,0.5
#47#5,4m,1,0.25
#47#5,77,1,0.25
#47#5#9,77b5#9,2,0.3333333333333333
#47#5#9,77#9,1,0.16666666666666666
#47#5#9,77b9,1,0.16666666666666666
#47#5#9,7maj7,1,0.16666666666666666
#47#5#9,7m7,1,0.16666666666666666
#47#9,b37#9,1,1.0
#47(D7),b37(Dm7),1,1.0
#47(Em7),47(A7),1,1.0
#47(G7),57(C7),1,1.0
#47alt,b79sus,1,0.3333333333333333
#47alt,37sus(Cm7),1,0.3333333333333333
#47alt,2maj7,1,0.3333333333333333
#47b13,7m7,1,1.0
#47b5,4maj7,3,0.42857142857142855
#47b5,47,2,0.2857142857142857
#47b5,7m7b5,1,0.14285714285714285
#47b5,47b5,1,0.14285714285714285
#47b5b9,4maj7,2,1.0
#47b9,7m7,4,0.4444444444444444
#47b9,7maj7,3,0.3333333333333333
#47b9,#4m7,1,0.1111111111111111
#47b9,2m7,1,0.1111111111111111
#47b9#11,1maj7#11,1,0.3333333333333333
#47b9#11,1maj7,1,0.3333333333333333
#47b9#11,#413#11,1,0.3333333333333333
#47b9sus,#47#5#9,1,1.0
#47sus,#47,2,0.4
#47sus,7maj7,1,0.2
#47sus,507,1,0.2
#47sus,#47alt,1,0.2
#47sus(Dm7),#47alt,1,1.0
#49,4maj7,3,0.42857142857142855
#49,17,1,0.14285714285714285
#49,469,1,0.14285714285714285
#49,79sus,1,0.14285714285714285
#49,4Maj,1,0.14285714285714285
#49#11,4maj7,1,0.3333333333333333
#49#11,4m7b5,1,0.3333333333333333
#49#11,5m7b5,1,0.3333333333333333
#49b5,6m7,4,0.6666666666666666
#49b5,1maj7,2,0.3333333333333333
#4Maj,b313b9,1,0.14285714285714285
#4Maj,7Maj,1,0.14285714285714285
#4Maj,5Maj,1,0.14285714285714285
#4Maj,1maj7#11,1,0.14285714285714285
#4Maj,4Maj,1,0.14285714285714285
#4Maj,56,1,0.14285714285714285
#4Maj,b2Maj,1,0.14285714285714285
#4m,3Maj,1,0.3333333333333333
#4m,#4m7,1,0.3333333333333333
#4m,b67sus(Em9),1,0.3333333333333333
#4m11,77,2,0.3333333333333333
#4m11,b7m9,1,0.16666666666666666
#4m11,b3m7b5,1,0.16666666666666666
#4m11,1maj7#11,1,0.16666666666666666
#4m11,59,1,0.16666666666666666
#4m6,47b9#9,1,0.5
#4m6,#4m7b5,1,0.5
#4m7,77,160,0.7207207207207207
#4m7,3maj7,7,0.03153153153153153
#4m7,7m7,6,0.02702702702702703
#4m7,4m7,4,0.018018018018018018
#4m7,57,4,0.018018018018018018
#4m7,2m7,4,0.018018018018018018
#4m7,507,3,0.013513513513513514
#4m7,b6m7,3,0.013513513513513514
#4m7,77b9,3,0.013513513513513514
#4m7,b6m7b5,2,0.009009009009009009
#4m7,b27,2,0.009009009009009009
#4m7,b67,2,0.009009009009009009
#4m7,5m7,2,0.009009009009009009
#4m7,3Maj,2,0.009009009009009009
#4m7,36,2,0.009009009009009009
#4m7,3m7,2,0.009009009009009009
#4m7,b6Maj,2,0.009009009009009009
#4m7,#4m6,1,0.0045045045045045045
#4m7,77#9,1,0.0045045045045045045
#4m7,37,1,0.0045045045045045045
#4m7,2m6,1,0.0045045045045045045
